STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,ANNUAL_ESAL_TREND,ANNUAL_GESAL_TREND
1,Alabama,0505,1,2007,108774,117197
1,Alabama,0505,2,2009,112467,121206
1,Alabama,0505,1,2009,112467,121206
1,Alabama,0505,2,2014,123323,132910
1,Alabama,0505,1,2014,123323,132910
1,Alabama,0505,1,2004,102996,111001
1,Alabama,0505,2,2004,102996,111001
1,Alabama,0505,1,2003,101225,109080
1,Alabama,0505,2,2003,101225,109080
1,Alabama,0505,2,2006,106883,115186
1,Alabama,0505,1,2006,106883,115186
1,Alabama,0505,2,2005,104908,113041
1,Alabama,0505,1,2005,104908,113041
1,Alabama,0505,2,2000,95515,102927
1,Alabama,0505,1,2000,95515,102927
1,Alabama,0505,2,2002,99379,107076
1,Alabama,0505,1,2002,99379,107076
1,Alabama,0505,2,1999,96470,103965
1,Alabama,0505,1,1999,96470,103965
1,Alabama,0505,1,2001,96849,104378
1,Alabama,0505,2,2001,96849,104378
1,Alabama,0505,2,1996,89209,96117
1,Alabama,0505,1,1996,89209,96117
1,Alabama,0505,1,1998,94221,101521
1,Alabama,0505,2,1998,94221,101521
1,Alabama,0505,2,1997,91192,98272
1,Alabama,0505,1,1997,91192,98272
1,Alabama,0505,2,1994,54000,49136
1,Alabama,0505,1,1994,54000,49136
1,Alabama,0505,2,1992,79148,85279
1,Alabama,0505,1,1992,79148,85279
1,Alabama,0505,1,1991,76639,82596
1,Alabama,0505,2,1991,76639,2942
1,Alabama,0505,2,1995,86293,92991
1,Alabama,0505,1,1995,86293,92991
1,Alabama,0505,1,1993,81158,87463
1,Alabama,0505,2,1993,81158,87463
1,Alabama,0505,1,1984,65507,70591
1,Alabama,0505,1,1985,66164,71304
1,Alabama,0505,1,1982,45975,49549
1,Alabama,0505,1,1986,74413,80178
1,Alabama,0505,1,1990,74792,80591
1,Alabama,0505,1,1983,49279,53097
1,Alabama,0505,1,1988,88861,95777
1,Alabama,0505,1,1987,83005,89467
1,Alabama,0505,1,1989,92681,99889
1,Alabama,0505,1,1980,55401,59695
1,Alabama,0505,1,1978,55630,59944
1,Alabama,0505,1,1981,55250,59531
1,Alabama,0505,1,1977,47443,51140
1,Alabama,0505,1,1979,55728,60051
1,Alabama,0505,1,1976,46101,29050
1,Alabama,0506,1,1975,0,0
1,Alabama,0506,3,2017,122443,139016
1,Alabama,0506,3,2016,121022,137387
1,Alabama,0506,3,2015,118939,135007
1,Alabama,0506,2,2008,106656,119861
1,Alabama,0506,1,2013,116475,70294
1,Alabama,0506,2,2013,116475,70294
1,Alabama,0506,3,2013,115318,60970
